che_lixf,10747594550
ssb,6932133344
chujd,6202108196
wuye_shiquan,5513220314
nizhh3,4479990737
zhouyin,3743511532
shaoby,3454264413
huangzhen,3341683434
yonyou,2827728452
zhangy,2443477931
zhoubch,2427720795
lingjw1,2408368137
chenfei2,2359123000
wangchao,2248124365
zhu_j,2181278856
xiale,2143508902
zhaope,2110475133
yujd,1982792771
liuchl1,1970900832
chenjm1,1955281431
xieyl1,1935205800
wuyue1,1924938609
zhangxy12,1903039831
huajia,1881089955
nibw,1835683441
fuqun,1813451687
liguohua,1612858970
caoxiongwei,1605903863
zhuml3,1583038470
zhuweiyu,1563516917
chenming,1546447544
liuwd,1532442005
sunqy,1529941868
yenan,1508163121
jianzh,1506930992
caiyue1,1488722124
yingyeke-xjzx,1475822308
yuanxd,1462516654
youzhch,1462471980
liuzhzh1,1433822090
chenyj6,1431585987
zhujy3,1422989057
zhangxw,1421814638
caiwf1,1401155060
wangyan6,1400471919
weizhh,1388931582
hangych,1387347712
liyj5,1374954307
shenyzh1,1325446280
litch,1312217329
tianyuan1,1311723018
yuanliming,1308471640
wuwj3,1267101903
sunjj1,1241568262
lishw,1234366967
yanyu,1223187286
chenef,1206349750
zhuyj2,1201176671
fanli2,1197873119
changjy,1196430305
lixy5,1161609194
pangjia,1142419715
guozhch,1134771248
hongwl,1130112152
jiajq,1127628720
guanfupeng,1116808666
wumy,1109885292
dongchy,1109283648
lixh2,1101710255
zhufeng1,1101197081
renrx,1091165220
shenzhe,1087489594
daijian,1083697142
lu_xr,1073688597
zhuzhb,1064388663
jiangjiang,1060737460
zhenghx,1060435557
baobo,1040844361
feily,1034753907
houjing,1032680632
linzm,1027661202
lihz,1022896638
limeng6,1016545330
yiming,1013141428
daiyong,1012755658
shenyq,1012363930
zhuyq,1009708502
yanxf1,999606981
zhouqw,995981042
huaqw,991727627
banjun,967836714
zhanghao,965111182
caozl,964520441
wuke,956544667
ymqin,954577346
hejy2,951853632
yangsy,951190929
chenyaohua,947503880
hanjy,942279611
yangyang6,919044800
lipeng1,903170866
yaoziqin,899833274
tianran,893667064
shijq,892149856
chenhaili,891271189
lulg,891166356
ligb2,891010470
gujsh,885024893
xubiao,884299284
nirui,880576892
infobos,880348299
zhoujj3,875411117
lujj1,868029234
chenping2,866128384
